Pulse Number,Pulse Amplitude,Average Voltage (V),Average Current (A),Rmax (Ohms),Rmin (Ohms)
87,0.0087,0.307994225,0.00869997775,35.4017256,34.1228635
88,0.0088,0.311804975,0.00879995425,35.43256773,34.12385987
89,0.0089,0.315629725,0.008899959,35.46417742,34.12376886
90,0.009,0.31946555,0.0089999705,35.49628857,34.12485404
91,0.0091,0.3233096,0.00909995175,35.52871585,34.12391601
92,0.0092,0.327168,0.0091999475,35.56194207,34.12484878
93,0.0093,0.33103575,0.009299947,35.59544479,34.12369219
94,0.0094,0.334914425,0.009399951,35.62937988,34.12495313
95,0.0095,0.338803025,0.00949999225,35.66350541,34.12405314
96,0.0096,0.342703025,0.009599949,35.69842142,34.12387194
97,0.0097,0.3466093,0.00969991725,35.73322236,34.12465982
98,0.0098,0.3505346,0.0097999545,35.76900281,34.12437193
99,0.0099,0.35446885,0.0098999535,35.80510252,34.12433995
100,0.01,0.358412525,0.009999909,35.84157866,34.12516136
101,0.0101,0.362370125,0.01009997,35.87833677,34.12256093
102,0.0102,0.36634175,0.0101999775,35.91593707,34.12390532
103,0.0103,0.370318675,0.01029991,35.95358358,34.125418
104,0.0104,0.37431525,0.0103999225,35.99211917,34.12579183
105,0.0105,0.378323525,0.01049996,36.03094917,34.12341981
106,0.0106,0.382330575,0.0106002925,36.0679269,34.12463405
107,0.0107,0.386364875,0.010700325,36.10777009,34.12421831
108,0.0108,0.39041415,0.010800495,36.14780156,34.12351245
109,0.0109,0.3944742,0.0109005125,36.18859205,34.12426551
110,0.011,0.3985359,0.0110002125,36.22983647,34.12501836
111,0.0111,0.40262745,0.0111003175,36.27170574,34.12340829
112,0.0112,0.40674055,0.0112006275,36.31408597,34.12714264
113,0.0113,0.410853975,0.0113006425,36.35669167,34.12347717
114,0.0114,0.4149724,0.01140037,36.39990632,34.12554163
115,0.0115,0.4191199,0.011500415,36.44389355,34.12427091
116,0.0116,0.42328875,0.0116006325,36.48841992,34.12473174
117,0.0117,0.4274619,0.011700655,36.5331599,34.12558141
118,0.0118,0.431636375,0.011800275,36.57850135,34.12520635
119,0.0119,0.435845025,0.01190036,36.62452438,34.12635115
120,0.012,0.440070625,0.012000505,36.67100885,34.12458008
121,0.0121,0.44430755,0.012100555,36.71794806,34.12431614
122,0.0122,0.44856575,0.0122006425,36.7657482,34.12625516
123,0.0123,0.45281965,0.0123002625,36.81382003,34.12385897
124,0.0124,0.45710955,0.0124003625,36.86259575,34.12680803
125,0.0125,0.4614196,0.0125004825,36.91214319,34.1253818
126,0.0126,0.4657399,0.01260053,36.96192938,34.12318243
127,0.0127,0.470068675,0.012700305,37.01239262,34.12631603
128,0.0128,0.474425275,0.0128002975,37.06361317,34.12640541
129,0.0129,0.4787981,0.01290028,37.11532618,34.12548068
130,0.013,0.48319085,0.013000365,37.16748337,34.12762804
131,0.0131,0.487590225,0.013100075,37.22041477,34.1263176
132,0.0132,0.49174905,0.013200115,37.25339135,34.12661424
133,0.0133,0.496207725,0.013300405,37.30771544,34.12628797
134,0.0134,0.5006742,0.0134004375,37.36252641,34.12590825
135,0.0135,0.5051546,0.0135004775,37.41753579,34.12634441
136,0.0136,0.5096409,0.01360013,37.47323739,34.12808372
137,0.0137,0.51416335,0.0137002725,37.52942505,34.12808621
138,0.0138,0.518706725,0.013800395,37.586368,34.1282476
139,0.0139,0.523272325,0.0139004,37.64440771,34.12766683
140,0.014,0.52784715,0.0140001775,37.70288984,34.12805249
141,0.0141,0.5324515,0.0141002275,37.76190845,34.1291505
142,0.0142,0.537083275,0.0142004025,37.82169379,34.12792447
143,0.0143,0.5417306,0.0143004575,37.88204678,34.12698394
144,0.0144,0.5463817,0.014400145,37.94279155,34.12866892
145,0.0145,0.55107375,0.014500165,38.00465374,34.12879184
146,0.0146,0.5557977,0.0146004925,38.06705151,34.12995733
147,0.0147,0.56054415,0.014700485,38.13099704,34.12874672
148,0.0148,0.565289175,0.0148002575,38.19454999,34.12997723
149,0.0149,0.57007105,0.0149002975,38.25903812,34.13164012
150,0.015,0.574883975,0.01500036,38.32467854,34.13011673
151,0.0151,0.579722075,0.015100565,38.39075392,34.12944729
152,0.0152,0.584583375,0.0152005125,38.45813587,34.13039659
153,0.0153,0.58944805,0.0153002025,38.52550644,34.13247898
154,0.0154,0.5943621,0.0154002725,38.59425864,34.13046178
